Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,MPC,RVO,6,10,10,40,20,0,30.5,726,3,7.900000000000001,1,0,0,0,0
LookAhead,MPC,RVO,7,10,10,40,20,0,30.0,692,3,5.6000000000000005,1,0,0,0,0
LookAhead,MPC,RVO,8,10,10,40,20,0,30.0,729,1,7.9,1,0,0,0,0
LookAhead,MPC,RVO,9,10,10,40,20,0,4.0,177,2,2.35,0,0,1,0,0
LookAhead,MPC,RVO,10,10,10,40,20,0,31.700000000000003,750,5,10.9,1,0,0,0,0
LookAhead,MPC,RVO,11,10,10,40,20,0,80.0,625,10,12.070000000000002,0,0,0,1,0
LookAhead,MPC,RVO,12,10,10,40,20,0,26.9,700,5,9.720000000000002,0,0,1,0,0
LookAhead,MPC,RVO,13,10,10,40,20,0,29.5,703,2,8.65,1,0,0,0,0
LookAhead,MPC,RVO,14,10,10,40,20,0,3.2,122,3,1.4333333333333336,0,0,1,0,0
LookAhead,MPC,RVO,15,10,10,40,20,0,5.300000000000001,180,2,0.95,0,0,1,0,0
LookAhead,MPC,RVO,16,10,10,40,20,0,30.1,726,7,6.014285714285714,1,0,0,0,0
LookAhead,MPC,RVO,17,10,10,40,20,0,29.6,729,2,5.05,0,0,1,0,0
LookAhead,MPC,RVO,18,10,10,40,20,0,30.6,763,7,6.885714285714286,1,0,0,0,0
LookAhead,MPC,RVO,19,10,10,40,20,0,29.9,706,4,8.100000000000001,1,0,0,0,0
LookAhead,MPC,RVO,20,10,10,40,20,0,28.8,670,2,5.45,0,0,1,0,0
LookAhead,MPC,RVO,21,10,10,40,20,0,30.1,702,4,7.925000000000001,1,0,0,0,0
LookAhead,MPC,RVO,22,10,10,40,20,0,30.3,733,6,8.016666666666667,1,0,0,0,0
LookAhead,MPC,RVO,23,10,10,40,20,0,20.200000000000003,506,6,7.1000000000000005,0,1,0,0,0
LookAhead,MPC,RVO,24,10,10,40,20,0,29.700000000000003,719,4,7.575,1,0,0,0,0
LookAhead,MPC,RVO,25,10,10,40,20,0,31.200000000000003,722,7,8.857142857142858,1,0,0,0,0
LookAhead,MPC,RVO,26,10,10,40,20,0,30.700000000000003,725,6,6.516666666666667,1,0,0,0,0
LookAhead,MPC,RVO,27,10,10,40,20,0,35.9,805,10,7.010000000000001,1,0,0,0,0
LookAhead,MPC,RVO,28,10,10,40,20,0,31.6,779,8,9.6375,1,0,0,0,0
LookAhead,MPC,RVO,29,10,10,40,20,0,30.200000000000003,724,5,6.840000000000001,1,0,0,0,0
LookAhead,MPC,RVO,0,10,10,40,40,0,11.5,552,3,1.5666666666666669,0,0,1,0,0
