Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,MPC,CVM,0,20,0,60,40,0,5.1000000000000005,258,3,2.0666666666666664,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,60,40,0,16.5,750,8,4.550000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,2,20,0,60,40,0,4.0,219,1,1.7000000000000002,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,60,40,0,6.0,301,4,1.85,0,0,1,0,0,3
LookAhead,MPC,CVM,4,20,0,60,40,0,5.5,279,3,1.8,0,0,1,0,0,3
LookAhead,MPC,CVM,0,20,0,60,60,0,5.2,335,4,2.0500000000000003,0,0,1,0,0,3
LookAhead,MPC,CVM,1,20,0,60,60,0,9.2,603,7,3.2,0,0,1,0,0,3
LookAhead,MPC,CVM,2,20,0,60,60,0,10.5,711,8,2.9250000000000007,0,0,1,0,0,3
LookAhead,MPC,CVM,3,20,0,60,60,0,5.1000000000000005,340,6,1.5166666666666668,0,0,1,0,0,3
LookAhead,MPC,CVM,4,20,0,60,60,0,11.3,687,7,3.228571428571428,0,0,1,0,0,3
LookAhead,MPC,CVM,0,30,0,20,20,0,29.8,699,11,14.318181818181818,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,20,20,0,31.6,795,10,13.580000000000002,1,0,0,0,0,1
LookAhead,MPC,CVM,2,30,0,20,20,0,40.900000000000006,1001,11,13.609090909090911,1,0,0,0,0,1
LookAhead,MPC,CVM,3,30,0,20,20,0,33.300000000000004,796,10,9.76,1,0,0,0,0,1
LookAhead,MPC,CVM,4,30,0,20,20,0,37.6,879,13,13.96923076923077,1,0,0,0,0,1
LookAhead,MPC,CVM,0,30,0,20,40,0,19.0,864,17,9.71764705882353,1,0,0,0,0,1
LookAhead,MPC,CVM,1,30,0,20,40,0,26.6,940,11,10.527272727272727,1,0,0,0,0,1
LookAhead,MPC,CVM,2,30,0,20,40,0,26.1,990,9,6.377777777777777,1,0,0,0,0,1
