,metric
10,"[19.832912447176383, 19.832912447176383, 19.832912447176383, 16.519121765057452, 16.519121765057452, 16.519121765057452, 13.331078636676885, 13.331078636676885, 13.331078636676885, 19.302582361286476, 19.302582361286476, 19.302582361286476, 14.211253400593975, 14.211253400593975, 14.211253400593975, 11.034307353785954, 11.034307353785954, 11.034307353785954, 19.302582361286476, 19.302582361286476, 19.302582361286476, 10.978751798230396, 10.978751798230396, 10.978751798230396, 6.9175134242235945, 6.9175134242235945, 6.9175134242235945]"
11,"[20.3266804826239, 20.3266804826239, 20.3266804826239, 15.753428121794798, 15.753428121794798, 15.753428121794798, 14.405049495118615, 14.405049495118615, 14.405049495118615, 18.080120639860045, 18.080120639860045, 18.080120639860045, 11.405867196549805, 11.405867196549805, 11.405867196549805, 10.224155236540287, 10.224155236540287, 10.224155236540287, 18.080120639860045, 18.080120639860045, 18.080120639860045, 11.405867196549805, 11.405867196549805, 11.405867196549805, 7.120502642128453, 7.120502642128453, 7.120502642128453]"
12,"[20.94453161282165, 20.94453161282165, 20.94453161282165, 18.216217721432585, 18.216217721432585, 18.216217721432585, 16.45478193683728, 16.45478193683728, 16.45478193683728, 19.208420501710545, 19.208420501710545, 19.208420501710545, 15.410662165877035, 15.410662165877035, 15.410662165877035, 11.98344756373907, 11.98344756373907, 11.98344756373907, 17.888976057266103, 17.888976057266103, 17.888976057266103, 13.572802418546416, 13.572802418546416, 13.572802418546416, 9.16087260895551, 9.16087260895551, 9.16087260895551]"
13,"[20.628118474897764, 20.628118474897764, 20.628118474897764, 17.260985842312635, 17.260985842312635, 17.260985842312635, 15.7715047216582, 15.7715047216582, 15.7715047216582, 20.628118474897764, 20.628118474897764, 20.628118474897764, 14.283659003866148, 14.283659003866148, 14.283659003866148, 12.560689227905561, 12.560689227905561, 12.560689227905561, 19.26683801227527, 19.26683801227527, 19.26683801227527, 12.000198407637123, 12.000198407637123, 12.000198407637123, 9.157163896389415, 9.157163896389415, 9.157163896389415]"
14,"[21.70842050171054, 21.70842050171054, 21.70842050171054, 20.325115227454337, 20.325115227454337, 20.325115227454337, 19.186226338565447, 19.186226338565447, 19.186226338565447, 21.70842050171054, 21.70842050171054, 21.70842050171054, 18.64932558510028, 18.64932558510028, 18.64932558510028, 16.01043669621139, 16.01043669621139, 16.01043669621139, 21.138806705754714, 21.138806705754714, 21.138806705754714, 16.133772237223273, 16.133772237223273, 16.133772237223273, 12.217105570556605, 12.217105570556605, 12.217105570556605]"
15,"[19.61899549921037, 19.61899549921037, 19.61899549921037, 19.529909199732963, 19.529909199732963, 19.529909199732963, 16.944432409003092, 16.944432409003092, 16.944432409003092, 19.54042807907853, 19.54042807907853, 19.54042807907853, 17.590230668490015, 17.590230668490015, 17.590230668490015, 7.869036590777458, 7.869036590777458, 7.869036590777458, 16.948281416954842, 16.948281416954842, 16.948281416954842, 13.752511216545047, 13.752511216545047, 13.752511216545047, 6.870671993639838, 6.870671993639838, 6.870671993639838]"
16,"[20.847309390599428, 20.847309390599428, 20.847309390599428, 18.482150863899456, 18.482150863899456, 18.482150863899456, 14.503089418772028, 14.503089418772028, 14.503089418772028, 16.941640601686753, 16.941640601686753, 16.941640601686753, 12.264186500344572, 12.264186500344572, 12.264186500344572, 9.4924713356079, 9.4924713356079, 9.4924713356079, 16.411310515796842, 16.411310515796842, 16.411310515796842, 12.264186500344572, 12.264186500344572, 12.264186500344572, 6.614340825268787, 6.614340825268787, 6.614340825268787]"
17,"[19.527864946154992, 19.527864946154992, 19.527864946154992, 17.839004116343226, 17.839004116343226, 17.839004116343226, 16.00754568507649, 16.00754568507649, 16.00754568507649, 16.200932928885532, 16.200932928885532, 16.200932928885532, 14.470405432407103, 14.470405432407103, 14.470405432407103, 12.299860701662958, 12.299860701662958, 12.299860701662958, 15.559491731884512, 15.559491731884512, 15.559491731884512, 12.395108818000029, 12.395108818000029, 12.395108818000029, 9.454104530791732, 9.454104530791732, 9.454104530791732]"
18,"[20.33086819359841, 20.33086819359841, 20.33086819359841, 19.213904912524672, 19.213904912524672, 19.213904912524672, 16.407362304026538, 16.407362304026538, 16.407362304026538, 20.33086819359841, 20.33086819359841, 20.33086819359841, 17.570489609638496, 17.570489609638496, 17.570489609638496, 14.936775484666697, 14.936775484666697, 14.936775484666697, 20.33086819359841, 20.33086819359841, 20.33086819359841, 15.391738808456706, 15.391738808456706, 15.391738808456706, 13.07746912792935, 13.07746912792935, 13.07746912792935]"
19,"[20.736198279488324, 20.736198279488324, 20.736198279488324, 19.63625439764258, 19.63625439764258, 19.63625439764258, 18.27858344376762, 18.27858344376762, 18.27858344376762, 20.736198279488324, 20.736198279488324, 20.736198279488324, 17.111338574873976, 17.111338574873976, 17.111338574873976, 13.856882308569512, 13.856882308569512, 13.856882308569512, 18.527935093847816, 18.527935093847816, 18.527935093847816, 13.797477745062212, 13.797477745062212, 13.797477745062212, 10.501354812091085, 10.501354812091085, 10.501354812091085]"
