Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Primitive,RVO,36,10,10,20,40,0,0.9,53,1,0.7000000000000001,0,0,0,0,1
LookAhead,Primitive,RVO,37,10,10,20,40,0,0.8,50,1,0.8,0,0,0,0,1
LookAhead,Primitive,RVO,38,10,10,20,40,0,0.2,33,1,0.2,0,0,1,0,0
LookAhead,Primitive,RVO,39,10,10,20,40,0,23.8,762,7,12.857142857142858,1,0,0,0,0
LookAhead,Primitive,RVO,40,10,10,20,40,0,27.200000000000003,801,4,12.275,1,0,0,0,0
LookAhead,Primitive,RVO,41,10,10,20,40,0,22.6,746,3,6.666666666666668,0,0,1,0,0
LookAhead,Primitive,RVO,42,10,10,20,40,0,22.200000000000003,728,2,13.3,1,0,0,0,0
LookAhead,Primitive,RVO,43,10,10,20,40,0,24.8,777,3,12.866666666666667,1,0,0,0,0
LookAhead,Primitive,RVO,44,10,10,20,40,0,22.700000000000003,753,4,5.750000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,45,10,10,20,40,0,20.5,727,2,13.0,1,0,0,0,0
LookAhead,Primitive,RVO,46,10,10,20,40,0,20.6,749,3,9.933333333333335,1,0,0,0,0
LookAhead,Primitive,RVO,47,10,10,20,40,0,39.1,826,7,12.042857142857144,1,0,0,0,0
LookAhead,Primitive,RVO,48,10,10,20,40,0,25.3,769,5,14.420000000000002,1,0,0,0,0
LookAhead,Primitive,RVO,49,10,10,20,40,0,22.9,720,2,10.85,1,0,0,0,0
LookAhead,Primitive,RVO,50,10,10,20,40,0,21.5,686,1,10.3,1,0,0,0,0
LookAhead,Primitive,RVO,51,10,10,20,40,0,29.0,737,3,12.466666666666669,1,0,0,0,0
LookAhead,Primitive,RVO,52,10,10,20,40,0,23.700000000000003,737,5,11.68,1,0,0,0,0
LookAhead,Primitive,RVO,53,10,10,20,40,0,26.9,733,5,10.56,1,0,0,0,0
LookAhead,Primitive,RVO,54,10,10,20,40,0,31.200000000000003,882,5,16.759999999999998,1,0,0,0,0
LookAhead,Primitive,RVO,55,10,10,20,40,0,24.3,742,4,4.1000000000000005,0,0,1,0,0
LookAhead,Primitive,RVO,56,10,10,20,40,0,23.1,757,1,8.1,1,0,0,0,0
LookAhead,Primitive,RVO,57,10,10,20,40,0,17.2,565,3,8.866666666666667,0,1,0,0,0
LookAhead,Primitive,RVO,58,10,10,20,40,0,32.2,962,6,7.916666666666668,1,0,0,0,0
LookAhead,Primitive,RVO,59,10,10,20,40,0,27.9,786,2,21.55,1,0,0,0,0
LookAhead,Primitive,RVO,0,10,10,20,60,0,11.8,714,0,,1,0,0,0,0
LookAhead,Primitive,RVO,1,10,10,20,60,0,12.4,741,5,4.58,1,0,0,0,0
LookAhead,Primitive,RVO,2,10,10,20,60,0,11.6,667,2,5.700000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,3,10,10,20,60,0,13.5,764,3,4.133333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,4,10,10,20,60,0,15.0,759,6,6.716666666666668,1,0,0,0,0
LookAhead,Primitive,RVO,5,10,10,20,60,0,13.0,746,2,6.700000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,6,10,10,20,60,0,12.7,707,2,5.050000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,7,10,10,20,60,0,18.3,879,5,11.6,1,0,0,0,0
LookAhead,Primitive,RVO,8,10,10,20,60,0,12.6,715,2,5.4,1,0,0,0,0
LookAhead,Primitive,RVO,9,10,10,20,60,0,12.6,704,4,4.050000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,10,10,10,20,60,0,12.6,680,3,7.833333333333333,1,0,0,0,0
LookAhead,Primitive,RVO,11,10,10,20,60,0,12.9,726,6,8.033333333333333,1,0,0,0,0
LookAhead,Primitive,RVO,12,10,10,20,60,0,13.5,730,5,7.56,1,0,0,0,0
LookAhead,Primitive,RVO,13,10,10,20,60,0,11.8,646,2,6.300000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,14,10,10,20,60,0,17.3,721,3,10.266666666666667,1,0,0,0,0
LookAhead,Primitive,RVO,15,10,10,20,60,0,12.2,654,2,6.050000000000001,1,0,0,0,0
