,Method,Planner,depth var,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Total samples,Success,Static Collision,Dynamic Collision,Dead Lock,Success rate,Tracked agents,Tracked time,velocity ratio
70,NoControl,Jerk_Primitive,0,30,0,60,40.0,0,4320,2074,10,2222,14,0.48333333333333334,54919,170784.1,1.5
71,NoControl,MPC,0,30,0,60,40.0,0,4320,685,0,3418,217,0.20879629629629629,35205,84441.79999999999,1.5
72,NoControl,Primitive,0,30,0,20,60.0,0,4320,2936,31,1009,344,0.7592592592592593,38199,193142.10000000003,0.33
73,NoControl,Jerk_Primitive,0,30,0,20,60.0,0,4320,4091,22,202,5,0.9481481481481482,38144,148247.60000000003,0.33
74,NoControl,MPC,0,30,0,20,60.0,0,4320,1520,72,2465,263,0.4127314814814815,29359,127099.6,0.33
75,NoControl,Primitive,0,30,0,40,60.0,0,4320,1373,9,2497,441,0.4199074074074074,34130,108009.4,0.67
76,NoControl,Jerk_Primitive,0,30,0,40,60.0,0,4320,3551,13,752,4,0.8229166666666666,40538,126721.4,0.67
77,NoControl,MPC,0,30,0,40,60.0,0,4320,948,59,3105,208,0.2675925925925926,27985,72210.7,0.67
78,NoControl,Primitive,0,30,0,60,60.0,0,4320,605,6,3293,416,0.2363425925925926,30668,67380.1,1.0
79,NoControl,Jerk_Primitive,0,30,0,60,60.0,0,4320,2795,31,1493,1,0.6472222222222223,44350,117178.50000000001,1.0
80,NoControl,MPC,0,30,0,60,60.0,0,4320,627,59,3500,134,0.1761574074074074,27985,53894.2,1.0
81,LookAhead,Primitive,0,10,0,20,20.0,0,8640,6999,0,1389,252,0.8392361111111111,21498,173842.30000000002,1.0
82,LookAhead,Jerk_Primitive,0,10,0,20,20.0,0,8640,7337,0,1154,146,0.866087962962963,20026,146937.6,1.0
83,LookAhead,MPC,0,10,0,20,20.0,0,4320,3487,0,779,54,0.819675925925926,9977,80913.9,1.0
84,LookAhead,Primitive,0,10,0,40,20.0,0,8640,2985,1,4040,1614,0.5322916666666667,24046,101738.0,2.0
85,LookAhead,Jerk_Primitive,0,10,0,40,20.0,0,8640,4785,0,3746,109,0.5664351851851852,24659,111565.5,2.0
86,LookAhead,MPC,0,10,0,40,20.0,0,4320,2270,0,2020,30,0.5324074074074074,12570,59054.9,2.0
87,LookAhead,Primitive,0,10,0,60,20.0,0,8640,1627,3,5613,1397,0.35,25083,73461.7,3.0
88,LookAhead,Jerk_Primitive,0,10,0,60,20.0,0,8640,2660,0,5874,106,0.32013888888888886,25581,77397.0,3.0
89,LookAhead,MPC,0,10,0,60,20.0,0,4320,1374,0,2925,21,0.3229166666666667,14187,45211.3,3.0
90,LookAhead,Primitive,0,10,0,20,40.0,0,8640,7626,1,674,339,0.921875,20927,141840.0,0.5
91,LookAhead,Jerk_Primitive,0,10,0,20,40.0,0,8640,8287,2,342,8,0.9600694444444444,17943,85329.7,0.5
92,LookAhead,MPC,0,10,0,20,40.0,0,4320,3531,0,657,132,0.8479166666666667,8845,50861.8,0.5
93,LookAhead,Primitive,0,10,0,40,40.0,0,8640,4554,0,2599,1487,0.6991898148148148,22161,90587.00000000001,1.0
94,LookAhead,Jerk_Primitive,0,10,0,40,40.0,0,8640,7470,0,1169,1,0.8646990740740741,18736,68190.6,1.0
95,LookAhead,MPC,0,10,0,40,40.0,0,4320,2997,0,1274,49,0.7050925925925926,8828,32881.7,1.0
96,LookAhead,Primitive,0,10,0,60,40.0,0,8640,2581,1,5170,888,0.40150462962962963,22342,62060.1,1.5
97,LookAhead,Jerk_Primitive,0,10,0,60,40.0,0,8640,6242,4,2390,4,0.7229166666666667,20880,60614.50000000001,1.5
98,LookAhead,MPC,0,10,0,60,40.0,0,4320,2189,0,2103,28,0.5131944444444444,9660,26235.0,1.5
99,LookAhead,Primitive,0,10,0,20,60.0,0,8640,7733,36,719,152,0.9126157407407407,18565,84963.6,0.33
100,LookAhead,Jerk_Primitive,0,10,0,20,60.0,0,8640,8283,7,349,1,0.9587962962962963,16826,58129.70000000001,0.33
101,LookAhead,MPC,0,10,0,20,60.0,0,4320,2952,14,1264,90,0.7041666666666667,7817,31159.4,0.33
102,LookAhead,Primitive,0,10,0,40,60.0,0,8640,5921,18,2524,177,0.705787037037037,17663,56896.3,0.67
103,LookAhead,Jerk_Primitive,0,10,0,40,60.0,0,8640,7759,5,875,1,0.8981481481481481,17264,50249.5,0.67
104,LookAhead,MPC,0,10,0,40,60.0,0,4320,2620,4,1628,68,0.6222222222222222,7659,21351.4,0.67
105,LookAhead,Primitive,0,10,0,60,60.0,0,8640,4363,33,4113,131,0.5201388888888889,17931,43119.200000000004,1.0
106,LookAhead,Jerk_Primitive,0,10,0,60,60.0,0,8640,6992,0,1648,0,0.8092592592592592,17434,42938.5,1.0
107,LookAhead,MPC,0,10,0,60,60.0,0,4320,2190,1,2092,37,0.5155092592592593,8269,19037.100000000002,1.0
108,LookAhead,Primitive,0,20,0,20,20.0,0,8640,5454,0,2524,662,0.7078703703703704,42061,315364.30000000005,1.0
109,LookAhead,Jerk_Primitive,0,20,0,20,20.0,0,8640,6317,0,1974,348,0.7714120370370371,40699,282696.7,1.0
110,LookAhead,MPC,0,20,0,20,20.0,0,4320,2766,0,1433,120,0.6680555555555555,19833,153458.3,1.0
111,LookAhead,Primitive,0,20,0,40,20.0,0,8640,1145,3,5073,2419,0.4125,33426,123357.29999999999,2.0
112,LookAhead,Jerk_Primitive,0,20,0,40,20.0,0,8640,2732,0,5618,290,0.34976851851851853,38894,160377.0,2.0
113,LookAhead,MPC,0,20,0,40,20.0,0,4320,1195,0,3069,56,0.28958333333333336,20064,84643.20000000001,2.0
114,LookAhead,Primitive,0,20,0,60,20.0,0,8640,340,0,6626,1674,0.23310185185185187,30391,74205.40000000001,3.0
115,LookAhead,Jerk_Primitive,0,20,0,60,20.0,0,8640,895,0,7595,150,0.12094907407407407,32107,82320.8,3.0
116,LookAhead,MPC,0,20,0,60,20.0,0,4320,491,0,3800,29,0.12037037037037036,18791,50741.0,3.0
117,LookAhead,Primitive,0,20,0,20,40.0,0,8640,6425,6,1451,758,0.8313657407407408,43700,288118.3,0.5
118,LookAhead,Jerk_Primitive,0,20,0,20,40.0,0,8640,7814,4,794,28,0.9076388888888889,37292,172593.50000000003,0.5
119,LookAhead,MPC,0,20,0,20,40.0,0,4320,2905,0,1203,212,0.7215277777777778,17562,98727.0,0.5
