Unnamed: 0,metric
5,"[9.85781249999999, 8.896874999999996, 7.9234375, 9.190624999999997, 7.765624999999997, 6.490625, 9.01249999999999, 7.440624999999998, 6.185937499999996, 9.326562499999993, 7.6484374999999964, 6.342187499999997, 8.095312499999997, 5.987500000000001, 4.664062500000001, 6.742187499999998, 4.754687499999999, 3.7468749999999997, 7.5375, 5.520312499999998, 4.0796875, 5.978124999999999, 3.8875, 2.760937499999999, 4.935937499999999, 3.306249999999999, 2.40625]"
6,"[10.64218749999999, 9.540624999999995, 8.657812499999995, 9.973437499999992, 8.551562499999994, 7.167187499999998, 8.789062499999993, 7.445312499999996, 6.081249999999998, 8.996874999999996, 7.206249999999999, 5.859374999999997, 7.070312499999996, 5.1171875, 3.6984375, 6.059374999999997, 4.1265625, 2.9718750000000007, 7.967187499999996, 5.6578124999999995, 4.2703125, 6.523437499999997, 4.328125000000001, 3.2703125, 4.6640625, 2.867187499999999, 2.1296874999999997]"
7,"[10.151562499999992, 8.581249999999995, 7.604687499999996, 9.599999999999993, 7.978124999999996, 7.189062499999996, 9.226562499999993, 7.556249999999997, 6.424999999999999, 9.037499999999994, 7.237499999999997, 5.74375, 7.912499999999996, 6.3296874999999995, 5.092187499999999, 6.459374999999997, 4.695312499999999, 3.9859375, 7.387499999999997, 5.160937499999999, 3.9406250000000003, 6.139062499999999, 3.7828125000000012, 2.6890625000000004, 5.260937500000001, 3.3234375, 2.3031250000000005]"
8,"[9.434374999999992, 8.032812499999999, 6.631249999999998, 8.671874999999993, 7.290624999999996, 5.857812500000002, 7.737499999999996, 5.9140624999999964, 4.5718749999999995, 9.110937499999993, 7.4656249999999975, 6.349999999999998, 7.348437499999997, 5.46875, 4.39375, 5.7624999999999975, 4.098437499999999, 3.2578125, 7.592187499999997, 5.5578125, 4.159375000000001, 5.614062499999999, 3.6343750000000004, 2.6968750000000004, 4.5687500000000005, 3.0328124999999995, 2.2062500000000003]"
9,"[9.94062499999999, 9.031249999999993, 8.124999999999995, 9.434374999999994, 8.262499999999998, 7.256249999999997, 8.412499999999998, 6.815624999999999, 5.784375, 8.164062499999996, 6.357812499999997, 5.0078125, 7.298437499999997, 5.4359375, 4.1203125, 6.281249999999997, 4.434375000000001, 3.2687500000000003, 7.593749999999996, 5.876562499999998, 4.6234375000000005, 6.0484374999999995, 3.8609375000000004, 2.8578125000000005, 4.703124999999999, 2.8171875000000006, 2.065625]"
10,"[10.32343749999999, 9.337499999999995, 8.026562499999999, 9.362499999999994, 7.909374999999995, 6.624999999999997, 8.479687499999995, 6.665625, 5.601562500000001, 8.174999999999997, 6.048437499999997, 4.470312500000002, 7.046874999999999, 5.440625000000002, 4.092187500000001, 6.2515624999999995, 4.196875, 2.9375, 7.890624999999995, 5.768749999999998, 4.249999999999998, 6.2718750000000005, 4.253125, 3.335937499999999, 5.1031249999999995, 3.2812500000000004, 2.359375]"
11,"[10.237499999999994, 8.887499999999996, 8.039062499999996, 9.265624999999991, 7.232812499999993, 6.135937499999998, 8.754687499999994, 7.053124999999997, 5.790625000000003, 9.174999999999995, 7.060937499999999, 5.465624999999999, 7.232812499999993, 5.362499999999998, 4.012500000000001, 5.768749999999998, 4.24375, 3.1999999999999993, 7.0984374999999975, 5.3609375, 4.171874999999999, 5.90625, 4.2953125, 3.2687499999999994, 4.853124999999999, 3.3515625000000004, 2.5218750000000005]"
12,"[9.579687499999995, 8.421874999999996, 7.251562499999996, 8.742187499999995, 7.307812499999996, 6.303124999999999, 8.474999999999994, 6.990625, 5.8, 7.715624999999997, 5.520312500000001, 4.3531249999999995, 7.029687499999997, 4.774999999999999, 3.521875000000002, 6.448437499999999, 4.2015625000000005, 2.9890624999999997, 7.439062499999995, 5.457812500000001, 4.0359375, 6.067187499999998, 4.151562500000001, 3.1500000000000012, 5.2796875, 3.4953125000000003, 2.6421875000000004]"
13,"[10.189062499999991, 8.804687499999995, 7.7734374999999964, 9.095312499999993, 7.628124999999998, 6.417187499999998, 8.678124999999994, 7.048437499999999, 5.826562499999998, 8.482812499999994, 6.704687499999999, 5.720312499999998, 7.779687499999998, 5.665625000000001, 4.759375, 6.637499999999999, 4.6468750000000005, 3.5125, 7.387499999999995, 5.0921875, 3.7656250000000004, 6.3843749999999995, 4.168750000000001, 3.071875, 5.2640625, 3.5656250000000003, 2.6765625]"
14,"[9.921874999999991, 8.748437499999994, 7.854687499999997, 9.66093749999999, 8.184374999999992, 7.0078125, 8.870312499999994, 7.407812499999995, 6.568749999999997, 8.218749999999996, 6.243749999999998, 4.8625, 7.368749999999997, 5.3234375, 4.109375, 5.981249999999998, 3.8109375, 2.8750000000000004, 7.120312499999999, 4.829687499999999, 3.921875000000001, 5.4078124999999995, 3.5187500000000007, 2.9265625000000006, 4.318750000000001, 2.457812500000001, 1.7328124999999999]"
