,Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Total samples,Success,Static collision,Dynamic collision,Area covered per step,Agent tracked per step,Agent tracking time
84,Rotating,Primitive,5,0,20,40,70,65,0,5,3.4632056451612905,1.1189516129032258,9.860373610373609
85,Rotating,Primitive,5,0,30,20,47,39,0,8,2.2496686716280965,1.1927821388520747,11.525064026150982
86,Rotating,Primitive,5,0,30,30,66,52,0,14,2.81141189493811,0.9157693468853779,9.894578955842691
87,Rotating,Primitive,5,0,30,40,68,56,0,12,3.362096612547605,1.062337141711766,8.606281335899013
88,Rotating,Primitive,5,0,40,20,52,36,0,16,2.162552259605813,1.065100537527374,11.011442192283312
89,Rotating,Primitive,5,0,40,30,61,48,0,13,2.8549181151411633,1.3764694062091831,10.011936680300108
90,Rotating,Primitive,5,0,40,40,68,59,0,9,3.353456964321709,1.3102197137673857,9.906675525329373
91,Rotating,Primitive,5,5,20,20,45,38,0,7,2.072377692772297,1.0368431648882626,10.411415580104903
92,Rotating,Primitive,5,5,20,30,61,52,1,8,2.8160632126425287,1.0202040408081616,11.493878099025158
93,Rotating,Primitive,5,5,20,40,67,58,3,6,3.075082922906825,0.9850236204643683,9.961332346791531
94,Rotating,Primitive,5,5,30,20,51,36,0,15,2.2640113509678725,1.1655011655011656,10.476818221562466
95,Rotating,Primitive,5,5,30,30,60,46,1,13,2.815533005124083,1.2960916306641215,10.515307836511665
96,Rotating,Primitive,5,5,30,40,69,55,6,8,3.3033775633293123,1.1057498994772819,10.111346860210496
97,Rotating,Primitive,5,5,40,20,52,35,0,17,2.4606799098914602,0.962523039115298,9.80657026188941
98,Rotating,Primitive,5,5,40,30,66,50,2,14,2.7961019490254873,1.4292853573213393,8.559011714780945
99,Rotating,Primitive,5,5,40,40,72,58,2,12,3.171876560471387,1.048636772196145,9.092842025699168
100,Rotating,Primitive,5,10,20,20,47,42,0,5,2.1843857171676415,1.210409521888239,10.671441995504496
101,Rotating,Primitive,5,10,20,30,57,50,3,4,2.582541927662154,1.0103051121438675,10.59675974025974
102,Rotating,Primitive,5,10,20,40,68,57,9,2,3.139901576780155,0.9641458270563422,9.853692892755392
103,Rotating,Primitive,5,10,30,20,44,41,0,3,2.1851471945840597,1.0462611549902554,10.76602355977356
104,Rotating,Primitive,5,10,30,30,60,46,3,11,2.703291239932385,0.9943323058566172,10.19230578898226
105,Rotating,Primitive,5,10,30,40,76,55,11,10,3.160889601282308,1.1320376678020436,8.74175062891877
106,Rotating,Primitive,5,10,40,20,48,39,0,9,2.121840700835767,1.037156379015205,8.488871676264596
107,Rotating,Primitive,5,10,40,30,57,42,4,11,2.6316317320228664,1.1332865309397253,9.624105147556476
108,Rotating,Primitive,5,10,40,40,75,46,11,18,3.2420979160434737,1.4158939076677635,8.307555668119049
109,Rotating,Primitive,10,0,20,20,47,39,0,8,2.2538829151732376,1.9912385503783354,10.878432140887483
110,Rotating,Primitive,10,0,20,30,61,54,0,7,2.922263618970899,2.326049743228275,10.617120328750687
111,Rotating,Primitive,10,0,20,40,71,61,0,10,3.1902487562189057,2.3582089552238807,10.480672990790739
112,Rotating,Primitive,10,0,30,20,50,33,0,17,2.1954902355546606,2.0938192067646466,10.621927127042314
113,Rotating,Primitive,10,0,30,30,65,44,0,21,2.721851002293807,2.263887503739902,10.683601864233095
114,Rotating,Primitive,10,0,30,40,75,57,0,18,3.2152202137221613,2.1472086287825825,10.826318426215826
115,Rotating,Primitive,10,0,40,20,63,29,0,34,2.2154533455173113,1.8682099705553863,9.787077294685991
116,Rotating,Primitive,10,0,40,30,63,39,0,24,2.398774238922938,1.9491610569677484,9.303989224144582
117,Rotating,Primitive,10,0,40,40,75,46,0,29,3.1362863713628637,2.15978402159784,9.450085003730837
118,Rotating,Primitive,10,5,20,20,45,36,0,9,2.159189434418792,1.9356789998991835,11.15629225878037
119,Rotating,Primitive,10,5,20,30,58,47,0,11,2.8094231350045304,2.1947045202859155,11.039952955229694
120,Rotating,Primitive,10,5,20,40,78,61,4,13,3.3271177944862154,2.2656641604010024,10.60937969356111
121,Rotating,Primitive,10,5,30,20,50,33,0,17,2.1623435152729096,1.8527791687531296,9.990962812254372
122,Rotating,Primitive,10,5,30,30,65,37,0,28,2.6885899352267066,1.883408071748879,9.386427482174549
123,Rotating,Primitive,10,5,30,40,77,49,3,25,3.131850515980363,1.9837691614066726,9.49867801006635
124,Rotating,Primitive,10,5,40,20,59,30,0,30,2.2404058669881453,2.0092425155716294,9.634524884472253
125,Rotating,Primitive,10,5,40,30,61,42,0,19,2.3641993806812507,2.1376485865547896,9.355152492886138
126,Rotating,Primitive,10,5,40,40,76,44,4,28,2.89747697236684,1.922306768121746,8.78092730305506
127,Rotating,Primitive,10,10,20,20,39,31,0,8,1.9792380568433783,1.864543438822818,10.56798807912585
128,Rotating,Primitive,10,10,20,30,59,51,3,5,2.7388052258900966,1.8051261593697019,11.038236953617593
129,Rotating,Primitive,10,10,20,40,73,52,6,15,3.286313267445343,2.735349905161226,9.894120093207686
130,Rotating,Primitive,10,10,30,20,49,32,0,17,2.138357818474542,2.0929764540148925,10.448932156283092
131,Rotating,Primitive,10,10,30,30,71,45,1,25,2.6570206841686557,1.8993635640413684,10.20670485037289
132,Rotating,Primitive,10,10,30,40,75,56,5,14,3.0824197727725733,2.023121387283237,9.881270604053855
133,Rotating,Primitive,10,10,40,20,54,26,1,27,2.2155416329830233,2.3443815683104283,9.839862709318812
134,Rotating,Primitive,10,10,40,30,70,40,0,30,2.8578179989944696,2.1417797888386123,9.415984797674938
135,Rotating,Primitive,10,10,40,40,81,50,6,25,3.1979745830023827,2.4225575853852264,10.496697439627768
136,Rotating,Primitive,15,0,20,20,45,30,0,15,2.2591389114541025,2.873679935012185,10.696363909819382
137,Rotating,Primitive,15,0,20,30,65,44,0,21,2.787757150025088,2.7295534370296037,9.710088203540272
138,Rotating,Primitive,15,0,20,40,72,56,0,16,3.130225080385852,3.617363344051447,10.080414830259583
139,Rotating,Primitive,15,0,30,20,49,30,0,19,1.911830584402362,2.300957035227041,10.235135994493099
140,Rotating,Primitive,15,0,30,30,70,39,0,31,2.5138790754012312,2.4629050166548905,9.697474841164425
141,Rotating,Primitive,15,0,30,40,72,44,0,28,3.018957345971564,3.0452757890491076,9.719852161777688
142,Rotating,Primitive,15,0,40,20,56,24,0,32,1.9136950904392764,2.842377260981912,9.176976765361792
143,Rotating,Primitive,15,0,40,30,67,30,0,37,2.5891355021789804,2.665450491537448,8.556145657940558
144,Rotating,Primitive,15,0,40,40,82,38,0,44,2.9742360695026964,2.86598761733573,8.652243923324063
145,Rotating,Primitive,15,5,20,20,39,29,0,10,2.038127557640483,2.5850883321688793,10.97860000997569
146,Rotating,Primitive,15,5,20,30,57,43,1,13,2.5629554655870446,2.408906882591093,9.83775199172196
147,Rotating,Primitive,15,5,20,40,75,51,6,18,3.0722089789431863,2.900278108859754,10.485239564478995
148,Rotating,Primitive,15,5,30,20,49,30,0,19,2.0901884072892,3.01657572325749,9.566155723175527
149,Rotating,Primitive,15,5,30,30,67,35,0,32,2.4713528647135288,2.6497350264973503,9.697155788989715
