Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,CVM,3,30,10,20,20,0,37.3,696,9,12.744444444444444,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,30,10,20,20,0,38.5,739,14,13.021428571428569,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,30,10,20,40,0,21.5,693,7,7.7,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,30,10,20,40,0,23.700000000000003,765,4,11.400000000000002,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,30,10,20,40,0,27.200000000000003,784,12,10.733333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,30,10,20,40,0,18.7,630,12,6.708333333333333,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,30,10,20,40,0,18.7,661,8,7.3125,0,1,0,0,0,3
LookAhead,Primitive,CVM,0,30,10,20,60,0,18.8,745,7,8.371428571428572,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,30,10,20,60,0,13.5,682,7,5.771428571428572,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,30,10,20,60,0,17.8,714,15,7.580000000000001,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,30,10,20,60,0,17.2,814,11,9.42727272727273,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,30,10,20,60,0,14.7,847,8,5.4,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,30,10,40,20,0,9.4,171,4,3.075,0,0,1,0,0,3
LookAhead,Primitive,CVM,1,30,10,40,20,0,14.2,301,7,4.071428571428571,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,30,10,40,20,0,17.6,346,8,4.9,0,0,1,0,0,3
LookAhead,Primitive,CVM,3,30,10,40,20,0,15.9,296,5,4.58,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,30,10,40,20,0,8.1,186,5,2.12,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,30,10,40,40,0,14.7,496,8,4.45,0,0,0,0,1,2
LookAhead,Primitive,CVM,1,30,10,40,40,0,15.2,442,12,4.7250000000000005,0,0,0,0,1,2
LookAhead,Primitive,CVM,2,30,10,40,40,0,4.800000000000001,186,1,1.2000000000000002,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,30,10,40,40,0,7.0,272,2,1.65,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,30,10,40,40,0,24.6,760,10,8.34,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,30,10,40,60,0,10.8,562,7,4.871428571428573,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,30,10,40,60,0,12.4,699,6,3.8000000000000007,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,30,10,40,60,0,12.3,636,9,5.4,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,30,10,40,60,0,6.7,420,6,2.1333333333333333,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,30,10,40,60,0,4.7,257,3,1.4666666666666668,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,30,10,60,20,0,2.7,89,1,0.5,0,0,1,0,0,3
LookAhead,Primitive,CVM,1,30,10,60,20,0,6.7,162,2,0.45,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,30,10,60,20,0,8.5,184,7,2.4142857142857146,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,30,10,60,20,0,5.6000000000000005,127,3,1.4666666666666668,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,30,10,60,20,0,6.2,139,4,1.175,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,30,10,60,40,0,3.1,118,2,1.6,0,0,0,0,1,2
LookAhead,Primitive,CVM,1,30,10,60,40,0,8.5,316,10,2.5700000000000007,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,30,10,60,40,0,18.9,534,14,4.007142857142856,0,0,1,0,0,3
LookAhead,Primitive,CVM,3,30,10,60,40,0,12.4,434,7,3.928571428571429,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,30,10,60,40,0,8.1,232,9,1.911111111111112,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,30,10,60,60,0,17.400000000000002,809,7,5.785714285714286,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,30,10,60,60,0,4.9,296,3,1.1666666666666667,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,30,10,60,60,0,3.3000000000000003,181,1,0.9,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,30,10,60,60,0,12.3,727,11,4.381818181818182,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,30,10,60,60,0,2.6,124,1,1.0,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,10,20,20,2,16.3,313,1,4.0,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,10,10,20,20,2,30.700000000000003,609,4,6.1,0,1,0,0,0,3
LookAhead,Primitive,CVM,2,10,10,20,20,2,38.2,755,5,8.860000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,10,20,20,2,40.6,809,3,7.899999999999999,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,10,20,20,2,37.8,732,3,6.733333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,10,20,40,2,26.4,779,4,7.25,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,10,20,40,2,27.9,757,5,7.780000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,10,20,40,2,25.4,869,4,7.225,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,10,20,40,2,25.3,855,4,7.525,1,0,0,0,0,1
